"Phenotype";"Level";"Model_Variant";"Estimate";"SE";"z score";"p value"
"Multinom_an_No_Control";"Cis man";"Without Study Status";1;0;4816,47;"0.00e+00"
"Multinom_an_No_Control";"Non-binary";"Without Study Status";1;0;-371,3;"0.00e+00"
"Multinom_an_No_Control";"Self-define";"Without Study Status";1;0;26,4;"1.42e-153"
"Multinom_an_No_Control";"Trans man";"Without Study Status";1;0;-17,35;"1.95e-67"
"Multinom_an_No_Control";"Trans woman";"Without Study Status";1;0;28,03;"6.18e-173"
"Multinom_an_With_Control";"Cis man";"With Study Status";1;0;7437,36;"0.00e+00"
"Multinom_an_With_Control";"Non-binary";"With Study Status";1;0;-104,73;"0.00e+00"
"Multinom_an_With_Control";"Self-define";"With Study Status";1;0;14,59;"3.18e-48"
"Multinom_an_With_Control";"Trans man";"With Study Status";1;0;-28,91;"9.93e-184"
"Multinom_an_With_Control";"Trans woman";"With Study Status";1;0;30,18;"3.87e-200"
"Multinom_anxiety_No_Control";"Cis man";"Without Study Status";1;0;-634,42;"0.00e+00"
"Multinom_anxiety_No_Control";"Non-binary";"Without Study Status";1;0;396,07;"0.00e+00"
"Multinom_anxiety_No_Control";"Self-define";"Without Study Status";1;0;16,68;"1.73e-62"
"Multinom_anxiety_No_Control";"Trans man";"Without Study Status";1;0;142,58;"0.00e+00"
"Multinom_anxiety_No_Control";"Trans woman";"Without Study Status";1;0;16,67;"2.24e-62"
"Multinom_anxiety_With_Control";"Cis man";"With Study Status";1;0;531,79;"0.00e+00"
"Multinom_anxiety_With_Control";"Non-binary";"With Study Status";1;0;277,43;"0.00e+00"
"Multinom_anxiety_With_Control";"Self-define";"With Study Status";1;0;9,24;"2.57e-20"
"Multinom_anxiety_With_Control";"Trans man";"With Study Status";1;0;47,29;"0.00e+00"
"Multinom_anxiety_With_Control";"Trans woman";"With Study Status";1;0;14,56;"4.80e-48"
"Multinom_bipolar_No_Control";"Cis man";"Without Study Status";0,99;0;-11016,49;"0.00e+00"
"Multinom_bipolar_No_Control";"Non-binary";"Without Study Status";1;0;240,7;"0.00e+00"
"Multinom_bipolar_No_Control";"Self-define";"Without Study Status";1;0;29,65;"3.17e-193"
"Multinom_bipolar_No_Control";"Trans man";"Without Study Status";1;0;219,28;"0.00e+00"
"Multinom_bipolar_No_Control";"Trans woman";"Without Study Status";1;0;-372,49;"0.00e+00"
"Multinom_bipolar_With_Control";"Cis man";"With Study Status";0,99;0;-9966,16;"0.00e+00"
"Multinom_bipolar_With_Control";"Non-binary";"With Study Status";1;0;67,16;"0.00e+00"
"Multinom_bipolar_With_Control";"Self-define";"With Study Status";1;0;18,15;"1.36e-73"
"Multinom_bipolar_With_Control";"Trans man";"With Study Status";1;0;152,86;"0.00e+00"
"Multinom_bipolar_With_Control";"Trans woman";"With Study Status";1;0;-298,29;"0.00e+00"
"Multinom_dep_No_Control";"Cis man";"Without Study Status";1;0;-6448,29;"0.00e+00"
"Multinom_dep_No_Control";"Non-binary";"Without Study Status";1;0;134,7;"0.00e+00"
"Multinom_dep_No_Control";"Self-define";"Without Study Status";1;0;-64,73;"0.00e+00"
"Multinom_dep_No_Control";"Trans man";"Without Study Status";1;0;-11,81;"3.49e-32"
"Multinom_dep_No_Control";"Trans woman";"Without Study Status";1;0;-7,56;"3.97e-14"
"Multinom_dep_With_Control";"Cis man";"With Study Status";1;0;-40,82;"0.00e+00"
"Multinom_dep_With_Control";"Non-binary";"With Study Status";1;0;37,33;"5.37e-305"
"Multinom_dep_With_Control";"Self-define";"With Study Status";1;0;-58,88;"0.00e+00"
"Multinom_dep_With_Control";"Trans man";"With Study Status";1;0;-7,57;"3.59e-14"
"Multinom_dep_With_Control";"Trans woman";"With Study Status";1;0;-8,2;"2.31e-16"
"Multinom_ptsd_No_Control";"Cis man";"Without Study Status";1;0;-3497,55;"0.00e+00"
"Multinom_ptsd_No_Control";"Non-binary";"Without Study Status";1;0;672,53;"0.00e+00"
"Multinom_ptsd_No_Control";"Self-define";"Without Study Status";1;0;112,53;"0.00e+00"
"Multinom_ptsd_No_Control";"Trans man";"Without Study Status";1;0;106,18;"0.00e+00"
"Multinom_ptsd_No_Control";"Trans woman";"Without Study Status";1;0;155,96;"0.00e+00"
"Multinom_ptsd_With_Control";"Cis man";"With Study Status";1;0;-892,48;"0.00e+00"
"Multinom_ptsd_With_Control";"Non-binary";"With Study Status";1;0;65,62;"0.00e+00"
"Multinom_ptsd_With_Control";"Self-define";"With Study Status";1;0;121,73;"0.00e+00"
"Multinom_ptsd_With_Control";"Trans man";"With Study Status";1;0;137,15;"0.00e+00"
"Multinom_ptsd_With_Control";"Trans woman";"With Study Status";1;0;132,55;"0.00e+00"
"Multinom_scz_No_Control";"Cis man";"Without Study Status";0,99;0;-14319,65;"0.00e+00"
"Multinom_scz_No_Control";"Non-binary";"Without Study Status";1;0;871;"0.00e+00"
"Multinom_scz_No_Control";"Self-define";"Without Study Status";1;0;90,59;"0.00e+00"
"Multinom_scz_No_Control";"Trans man";"Without Study Status";1;0;28,72;"1.87e-181"
"Multinom_scz_No_Control";"Trans woman";"Without Study Status";1;0;-224,14;"0.00e+00"
"Multinom_scz_With_Control";"Cis man";"With Study Status";0,99;0;-16411,84;"0.00e+00"
"Multinom_scz_With_Control";"Non-binary";"With Study Status";1;0;155,2;"0.00e+00"
"Multinom_scz_With_Control";"Self-define";"With Study Status";1;0;85,21;"0.00e+00"
"Multinom_scz_With_Control";"Trans man";"With Study Status";1;0;40,83;"0.00e+00"
"Multinom_scz_With_Control";"Trans woman";"With Study Status";1;0;-408,65;"0.00e+00"
